	code	market	name	sector
1654	033050	KOSDAQ	제이엠아이	기록매체 복제업
1655	094970	KOSDAQ	제이엠티	전자부품 제조업
1656	058420	KOSDAQ	제이웨이	"영화, 비디오물, 방송프로그램 제작 및 배급업"
1657	025620	KOSPI	제이준코스메틱	기타 화학제품 제조업
1658	036420	KOSPI	제이콘텐트리	"영화, 비디오물, 방송프로그램 제작 및 배급업"
1659	089790	KOSDAQ	제이티	특수 목적용 기계 제조업
1660	030000	KOSPI	제일기획	광고업
1661	052670	KOSDAQ	제일바이오	의약품 제조업
1662	271980	KOSPI	제일약품	의약품 제조업
1663	001560	KOSPI	제일연마	기타 비금속 광물제품 제조업
1664	199820	KOSDAQ	제일전기공업	"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
1665	023440	KOSDAQ	제일제강	1차 철강 제조업
1666	038010	KOSDAQ	제일테크노스	"구조용 금속제품, 탱크 및 증기발생기 제조업"
1667	002620	KOSPI	제일파마홀딩스	회사 본부 및 경영 컨설팅 서비스업
1668	080220	KOSDAQ	제주반도체	반도체 제조업
1669	006220	KOSPI	제주은행	은행 및 저축기관
1670	089590	KOSPI	제주항공	항공 여객 운송업
1671	216080	KOSDAQ	제테마	의료용품 및 기타 의약 관련제품 제조업
1672	229000	KOSDAQ	젠큐릭스	의료용품 및 기타 의약 관련제품 제조업
1673	082270	KOSDAQ	젬백스	특수 목적용 기계 제조업
1674	064800	KOSDAQ	젬백스링크	"섬유, 의복, 신발 및 가죽제품 소매업"
1675	041590	KOSDAQ	젬백스지오	실내건축 및 건축마무리 공사업
1676	044060	KOSDAQ	조광ILI	일반 목적용 기계 제조업
1677	004910	KOSPI	조광페인트	기타 화학제품 제조업
1678	004700	KOSPI	조광피혁	"가죽, 가방 및 유사제품 제조업"
1679	001550	KOSPI	조비	"비료, 농약 및 살균, 살충제 제조업"
1680	000480	KOSPI	조선내화	"내화, 비내화 요업제품 제조업"
1681	120030	KOSPI	조선선재	기타 금속 가공제품 제조업
1682	034940	KOSDAQ	조아제약	의약품 제조업
1683	101730	KOSDAQ	조이맥스	소프트웨어 개발 및 공급업
1684	067000	KOSDAQ	조이시티	소프트웨어 개발 및 공급업
1685	018470	KOSPI	조일알미늄	1차 비철금속 제조업
1686	002600	KOSPI	조흥	기타 식품 제조업
1687	185750	KOSPI	종근당	의약품 제조업
1688	063160	KOSPI	종근당바이오	의약품 제조업
1689	001630	KOSPI	종근당홀딩스	의약품 제조업
1690	033340	KOSDAQ	좋은사람들	봉제의복 제조업
1691	036930	KOSDAQ	주성엔지니어링	특수 목적용 기계 제조업
1692	044380	KOSPI	주연테크	컴퓨터 및 주변장치 제조업
1693	239340	KOSDAQ	줌인터넷	"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
1694	072020	KOSDAQ	중앙백신	기초 의약물질 및 생물학적 제제 제조업
1695	000440	KOSDAQ	중앙에너비스	기타 전문 도매업
1696	228760	KOSDAQ	지노믹트리	의료용품 및 기타 의약 관련제품 제조업
1697	314130	KOSDAQ	지놈앤컴퍼니	기초 의약물질 및 생물학적 제제 제조업
1698	013890	KOSPI	지누스	가구 제조업
1699	043610	KOSDAQ	지니뮤직	"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
1700	263860	KOSDAQ	지니언스	소프트웨어 개발 및 공급업
1701	303030	KOSDAQ	지니틱스	반도체 제조업
