code,market,name,sector
023450,KOSPI,동남합성,화학
004140,KOSPI,동방,기타 운송관련 서비스업
099410,KOSDAQ,동방선기,선박 및 보트 건조업
007590,KOSPI,동방아그로,"비료, 농약 및 살균, 살충제 제조업"
005960,KOSPI,동부건설,토목 건설업
026960,KOSPI,동서,음식도매
102260,KOSPI,동성코퍼레이션,회사 본부 및 경영 컨설팅 서비스업
033500,KOSDAQ,동성화인텍,화학
005190,KOSPI,동성화학,화학
025950,KOSDAQ,동신건설,토목 건설업
000640,KOSPI,동아쏘시오홀딩스,금융
088130,KOSDAQ,동아엘텍,기계제조
028100,KOSPI,동아지질,기반조성 및 시설물 축조관련 전문공사업
282690,KOSPI,동아타이어,고무제품 제조업
041930,KOSDAQ,동아화성,고무제품 제조업
001520,KOSPI,동양,"시멘트, 석회, 플라스터 및 그 제품 제조업"
084670,KOSPI,동양고속,육상 여객 운송업
002900,KOSPI,동양물산,기계제조
082640,KOSPI,동양생명,보험업
060380,KOSDAQ,동양에스텍,철강
079960,KOSDAQ,동양이엔피,전동기계
008970,KOSPI,동양철관,철강
228340,KOSDAQ,동양파일,"시멘트, 석회, 플라스터 및 그 제품 제조업"
092780,KOSPI,동양피스톤,자동차용 엔진 및 자동차 제조업
088910,KOSDAQ,동우팜투테이블,"도축, 육류 가공 및 저장 처리업"
094170,KOSDAQ,동운아나텍,반도체
049770,KOSPI,동원F&B,식품제조
013120,KOSDAQ,동원개발,건설주
018500,KOSPI,동원철강,자동차
006040,KOSPI,동원산업,어로 어업
030720,KOSPI,동원수산,어로 어업
014820,KOSPI,동원시스템즈,화학
163560,KOSPI,동일고무벨트,고무제품 제조업
109860,KOSDAQ,동일철강,철강 주조업
032960,KOSDAQ,동일기연,전자
004890,KOSPI,동일산업,철강
002690,KOSPI,동일제강,철강
023790,KOSDAQ,동일철강,철강
005290,KOSDAQ,동진쎄미켐,화학
025900,KOSDAQ,동화기업,나무제품 제조업
000150,KOSPI,두산,회사 본부 및 경영 컨설팅 서비스업
241560,KOSPI,두산밥캣,기계제조
042670,KOSPI,두산인프라코어,기계제조
034020,KOSPI,두산중공업,기계
336260,KOSPI,두산퓨얼셀,전동기계
016740,KOSPI,두올,자동차
073190,KOSDAQ,듀오백,가구 제조업
030350,KOSDAQ,드래곤플라이,IT
203650,KOSDAQ,드림시큐리티,IT
060570,KOSDAQ,드림어스컴퍼니,도매업
192650,KOSPI,드림텍,전자
217620,KOSDAQ,디딤,음식점업
187870,KOSDAQ,디바이스이엔지,기계제조
066670,KOSDAQ,디스플레이텍,전자
024090,KOSPI,디씨엠,철강
003160,KOSPI,디아이  측정,", 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
092200,KOSPI,디아이씨,자동차
110990,KOSDAQ,디아이티,기계제조
263720,KOSDAQ,디앤씨미디어,"서적, 잡지 및 기타 인쇄물 출판업"
109740,KOSDAQ,디에스케이,기계제조
033430,KOSDAQ,디에스티,기계제조
196490,KOSDAQ,디에이테크놀로지,기계제조
066900,KOSDAQ,디에이피,전자
092070,KOSDAQ,디엔에프,화학
134580,KOSDAQ,디엠티,통신방송
196450,KOSDAQ,디오스텍,사진장비 및 광학기기 제조업
013570,KOSPI,디와이,금융
210540,KOSPI,디와이파워,기계제조
104460,KOSDAQ,디와이피엔에프,기계
079810,KOSDAQ,디이엔티,기계제조
227100,KOSDAQ,디자인,전동기계
113810,KOSDAQ,디젠스,자동차
043360,KOSDAQ,디지아이,컴퓨터 및 주변장치 제조업
197140,KOSDAQ,디지캡,IT
106520,KOSDAQ,디지탈옵틱,사진장비 및 광학기기 제조업
068930,KOSDAQ,디지털대성,일반 교습 학원
033130,KOSDAQ,디지틀조선,IT
105740,KOSDAQ,디케이락,기계
290550,KOSDAQ,디케이티,전자
007340,KOSPI,디티알오토모티브,일차전지 및 축전지 제조업
187220,KOSDAQ,디티앤씨,기타 과학기술 서비스업
026890,KOSPI,디피씨,전동기계
131180,KOSDAQ,딜리,컴퓨터 및 주변장치 제조업
317120,KOSDAQ,라닉스,반도체
042510,KOSDAQ,라온시큐어,IT
300120,KOSDAQ,라온피플,IT
036170,KOSDAQ,라이브파이낸셜,반도체
050120,KOSDAQ,라이브플렉스,생활용품 도매업
171120,KOSDAQ,라이온켐텍,화학
069540,KOSDAQ,라이트론,통신방송
214260,KOSDAQ,라파스,화학
115390,KOSPI,락앤락,화학
217500,KOSDAQ,러셀,기계제조
033600,KOSDAQ,럭슬,자동차
060300,KOSDAQ,레드로버,영상배급
038390,KOSDAQ,레드캡투어,여행사 및 기타 여행보조 서비스업
294140,KOSDAQ,레몬,화학섬유 제조업
281740,KOSDAQ,레이크머티리얼즈,화학
215100,KOSDAQ,로보로보,기타 전기장비 제조업
090360,KOSDAQ,로보스타,기계제조
108490,KOSDAQ,로보티즈,기계제조
067730,KOSDAQ,로지시스,IT
071280,KOSDAQ,로체시스템즈,기계제조
032350,KOSPI,롯데관광개발,여행사 및 기타 여행보조 서비스업
330590,KOSPI,롯데리츠,부동산
000400,KOSPI,롯데손해보험,보험업
023530,KOSPI,롯데쇼핑,소매업
004000,KOSPI,롯데정밀화학,화학
286940,KOSPI,롯데정보통신,IT
280360,KOSPI,롯데제과,식품제조
004990,KOSPI,롯데지주,금융
005300,KOSPI,롯데칠성,비알코올음료 및 얼음 제조업
011170,KOSPI,롯데케미칼,화학
002270,KOSPI,롯데푸드,낙농제품 및 식용빙과류 제조업
071840,KOSPI,롯데하이마트,가전제품 및 정보통신장비 소매업
038060,KOSDAQ,루멘스,반도체
060240,KOSDAQ,룽투코리아,IT
058470,KOSDAQ,리노공업,전자
039980,KOSDAQ,리노스,"섬유, 의복, 신발 및 가죽제품 소매업"
012700,KOSDAQ,리드코프,도매업
029480,KOSDAQ,릭스솔루션,통신방송
042500,KOSDAQ,링네트,IT
219420,KOSDAQ,링크제니시스,IT
027740,KOSPI,마니커,"도축, 육류 가공 및 저장 처리업"
195500,KOSDAQ,마니커에프앤지,"도축, 육류 가공 및 저장 처리업"
222810,KOSDAQ,마이더스AI,IT
098120,KOSDAQ,마이크로컨텍솔,전자
147760,KOSDAQ,마이크로프랜드,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
204320,KOSPI,만도,자동차
001080,KOSPI,만호제강,철강
267980,KOSDAQ,매일유업,낙농제품 및 식용빙과류 제조업
005990,KOSDAQ,매일홀딩스,낙농제품 및 식용빙과류 제조업
127160,KOSDAQ,매직마이크로,전자
093520,KOSDAQ,매커스,기계장비 및 관련 물품 도매업
141070,KOSDAQ,맥스로텍,기계제조
088980,KOSPI,맥쿼리인프라,신탁투자업
094800,KOSPI,맵스리얼티1,신탁투자업
100590,KOSDAQ,머큐리,통신방송
067280,KOSDAQ,멀티캠퍼스,기타 교육기관
072870,KOSDAQ,메가스터디,"서적, 잡지 및 기타 인쇄물 출판업"
215200,KOSDAQ,메가스터디교육,일반 교습 학원
133750,KOSDAQ,메가엠디,일반 교습 학원
054180,KOSDAQ,메디콕스,선박 및 보트 건조업
065650,KOSDAQ,메디프론,기계장비 및 관련 물품 도매업
138040,KOSPI,메리츠금융지주,금융
008560,KOSPI,메리츠증권,금융
000060,KOSPI,메리츠화재,보험업
241770,KOSDAQ,메카로,화학
090370,KOSPI,메타랩스,의류
327260,KOSDAQ,메탈라이프,전자
096640,KOSDAQ,멜파스,전자
257370,KOSDAQ,명성티엔에스,기계제조
009900,KOSPI,명신산업,자동차
012690,KOSPI,모나리자,기타 종이 및 판지 제품 제조업
005360,KOSPI,모나미,생활용품 도매업
080420,KOSDAQ,모다이노칩,"섬유, 의복, 신발 및 가죽제품 소매업"
080160,KOSDAQ,모두투어,여행사 및 기타 여행보조 서비스업
204210,KOSPI,모두투어리츠,부동산
100030,KOSDAQ,모바일리더,IT
087260,KOSDAQ,모바일어플라이언스,IT
101330,KOSDAQ,모베이스,통신방송
012860,KOSDAQ,모베이스전자,자동차
250060,KOSDAQ,모비스,IT
033200,KOSDAQ,모아텍,전자
009680,KOSPI,모토닉,자동차
118990,KOSDAQ,모트렉스,자동차
006920,KOSDAQ,모헨즈,"시멘트, 석회, 플라스터 및 그 제품 제조업"
009580,KOSPI,무림P&P,"펄프, 종이 및 판지 제조업"
001810,KOSDAQ,무림SP,"펄프, 종이 및 판지 제조업"
009200,KOSPI,무림페이퍼,"펄프, 종이 및 판지 제조업"
033920,KOSPI,무학,주류
008420,KOSPI,문배철강,철강
279600,KOSDAQ,미디어젠,IT
028040,KOSDAQ,미래SCI,중개업
095500,KOSDAQ,미래나노텍,화학
025560,KOSPI,미래산업  측정,", 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
218150,KOSDAQ,미래생명자원,동물용 사료 및 조제식품 제조업
007120,KOSPI,미래아이앤지,IT
006800,KOSPI,미래에셋대우,금융
357250,KOSPI,미래에셋맵스리츠,부동산
