       code  ratio  ratio_price
454  217480   1.13         0.95
455  001290   1.13         0.97
456  093320   1.13         0.99
457  002030   1.13         0.99
458  067570   1.13         0.99
459  289010   1.13         0.97
460  137940   1.13         0.97
461  073570   1.13         0.96
462  033320   1.13         0.97
463  332570   1.13         0.99
464  060480   1.13         0.99
465  053610   1.13         0.96
466  017000   1.13         0.95
467  353490   1.13         0.97
468  018470   1.13         0.99
469  101000   1.13         0.98
470  096630   1.13         0.95
471  065950   1.14         0.96
472  014200   1.14         0.97
473  048830   1.14         0.99
474  016920   1.14         0.95
475  158430   1.14         0.96
476  002630   1.14         0.97
477  114630   1.14         0.97
478  030350   1.14         0.95
479  067730   1.14         0.98
480  253590   1.14         0.96
481  051490   1.14         0.98
482  053980   1.14         0.98
483  082270   1.14         0.97
484  297570   1.14         0.97
485  004080   1.14         0.96
486  117670   1.14         0.99
487  170030   1.14         0.99
488  182360   1.14         0.97
489  111870   1.14         0.95
490  123840   1.14         0.97
491  052600   1.15         0.95
492  019570   1.15         0.95
493  042670   1.15         0.98
494  317120   1.15         0.96
495  253840   1.15         0.96
496  143160   1.15         0.99
497  021080   1.15         0.99
498  068940   1.15         0.99
499  038500   1.15         0.98
500  080720   1.15         0.97
501  071970   1.15         0.95
502  241560   1.15         0.99
503  031820   1.15         0.97
504  204620   1.15         0.98
505  306620   1.15         0.96
506  072770   1.15         0.99
507  003070   1.15         0.98
508  038530   1.15         0.95
509  064550   1.15         0.96
510  170790   1.16         0.99
511  095270   1.16         0.97
512  032820   1.16         0.96
513  900280   1.16         0.97
514  900300   1.16         0.95
515  009310   1.16         0.96
516  001210   1.16         0.95
517  049950   1.16         0.99
518  080420   1.16         0.95
519  225430   1.16         0.95
520  150900   1.16         0.96
521  208640   1.16         0.97
522  339770   1.17         0.97
523  058400   1.17         0.98
524  028300   1.17         0.97
525  080530   1.17         0.95
526  035900   1.17         0.96
527  267320   1.17         0.99
528  054450   1.17         0.99
529  290510   1.17         0.96
530  102460   1.17         0.96
531  091120   1.17         0.98
532  257370   1.17         0.96
533  029480   1.17         0.95
534  246690   1.17         0.96
535  000640   1.17         0.98
536  277880   1.17         0.98
537  013810   1.18         0.99
538  276240   1.18         0.99
539  048260   1.18         0.99
540  286000   1.18         0.97
541  023440   1.18         0.95
542  281310   1.18         0.99
543  238170   1.18         0.96
544  219130   1.18         0.96
545  179530   1.18         0.97
546  299670   1.18         0.98
547  096690   1.19         0.99
548  091810   1.19         0.96
549  037400   1.19         0.95
550  052420   1.19         0.98
551  217330   1.19         0.95
552  053060   1.19         0.96
553  277070   1.19         0.95
554  032980   1.19         0.95
555  089530   1.19         0.97
556  123010   1.19         0.97
557  006380   1.19         0.99
558  335890   1.20         0.98
559  900250   1.20         0.97
560  145210   1.20         0.99
561  211050   1.20         0.99
562  215380   1.20         0.98
563  039490   1.20         0.96
564  005950   1.20         0.98
565  228760   1.20         0.95
566  024940   1.20         0.95
567  265740   1.20         0.96
568  178600   1.20         0.98
569  014940   1.20         0.96
570  166480   1.20         0.98
571  285130   1.21         0.97
572  039200   1.21         0.95
573  057030   1.22         0.95
574  226330   1.22         0.98
575  178780   1.22         0.95
576  267810   1.22         0.99
577  044180   1.22         0.95
578  012280   1.22         0.98
579  052300   1.22         0.96
580  256940   1.23         0.99
581  002800   1.23         0.95
582  233990   1.23         0.96
583  058630   1.24         0.95
584  233250   1.24         0.96
585  245620   1.24         0.95
586  317860   1.25         0.98
587  019210   1.25         0.98
588  202960   1.26         0.97
589  103230   1.26         0.95
590  249420   1.26         0.97
591  109960   1.26         0.98
592  007460   1.27         0.97
593  039130   1.27         0.98
594  066590   1.27         0.99
595  197140   1.28         0.97
596  242350   1.28         0.96
597  088790   1.28         0.95
598  244920   1.28         0.95
599  052790   1.29         0.96
600  053280   1.29         0.98
601  290690   1.29         0.95
602  080160   1.29         0.99
603  084440   1.30         0.95
604  299480   1.30         0.96
605  115610   1.30         0.98
606  348350   1.30         0.95
607  024850   1.30         0.96
608  199820   1.31         0.95
609  121800   1.31         0.97
610  088290   1.31         0.95
611  090850   1.32         0.97
612  043710   1.32         0.99
613  056090   1.33         0.95
614  214310   1.33         0.99
615  227420   1.33         0.96
616  011230   1.35         0.95
617  176750   1.35         0.95
618  347000   1.36         0.96
